time,seconds_elapsed,dBFS
1717498779741000000,49.555,-46.99026870727539
1717498779858000000,49.671999755859375,-48.41948699951172
1717498779958000000,49.77200024414063,-46.81000518798828
1717498780058000000,49.87199975585938,-45.87948226928711
1717498780158000000,49.972000244140624,-25.21711540222168
1717498780258000000,50.07199975585937,-29.722063064575195
1717498780358000000,50.17200024414063,-33.02329635620117
1717498780458000000,50.271999755859376,-37.08033752441406
1717498780558000000,50.37200024414062,-40.71786117553711
1717498780658000000,50.47199975585937,-43.331119537353516
1717498780758000000,50.572000244140625,-46.36152648925781
1717498780858000000,50.671999755859375,-46.90467071533203
1717498780958000000,50.77200024414063,-48.0113639831543
1717498781058000000,50.87199975585938,-47.844573974609375
1717498781158000000,50.972000244140624,-49.2016487121582
1717498781258000000,51.07199975585937,-27.6907958984375
1717498781358000000,51.17200024414063,-31.499956130981445
1717498781458000000,51.271999755859376,-35.56454849243164
1717498781558000000,51.37200024414062,-39.07542419433594
1717498781675000000,51.489,-42.68452072143555
1717498781779000000,51.593,-44.87239456176758
1717498781892000000,51.706,-45.086734771728516
1717498781991000000,51.805,-45.53419876098633
1717498782092000000,51.906,-46.67692565917969
1717498782191000000,52.005,-45.83704376220703
1717498782292000000,52.106,-25.166044235229492
1717498782392000000,52.206,-29.850914001464844
1717498782492000000,52.306,-33.280521392822266
1717498782592000000,52.406,-37.32240295410156
1717498782692000000,52.506,-41.143638610839844
1717498782792000000,52.606,-43.19386672973633
1717498782892000000,52.706,-44.12282180786133
1717498782992000000,52.806,-46.645912170410156
1717498783092000000,52.906,-45.68111038208008
1717498783192000000,53.006,-48.469322204589844
1717498783292000000,53.106,-30.5473575592041
1717498783392000000,53.206,-33.22264099121094
1717498783492000000,53.306,-36.50907516479492
1717498783592000000,53.406,-39.39787673950195
1717498783692000000,53.506,-43.29128646850586
1717498783792000000,53.606,-45.197994232177734
1717498783892000000,53.706,-48.66957092285156
1717498783992000000,53.806,-46.51458740234375
1717498784092000000,53.906,-48.2210693359375
1717498784192000000,54.006,-45.94139862060547
1717498784292000000,54.106,-48.17747497558594
